Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
F139;CEA-FLEX 1,5MM;CABO ELETRICO FLEXIVEL 1,5MM CINZA AUTOFLEX* 100M;RL;0.0;1.228;0.9;0.0;0.0133;2.1413
F139;CEA-FLEX 1,5MM;CABO ELETRICO FLEXIVEL 1,5MM CINZA AUTOFLEX* 100M;RL;0.0;0.66;1.12;0.0;0.013;1.7930000000000001
F139;CEA-FLEX 1,5MM;CABO ELETRICO FLEXIVEL 1,5MM CINZA AUTOFLEX* 100M;RL;0.0;0.77;1.1;0.0;0.013;1.883
F128;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;8.038;3.402;0.0;0.0133;11.4533
F128;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;4.62;3.8;0.0;0.025;8.445
F128;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;5.5;3.6;0.0;0.025;9.125
F127;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM PRETO AUTOFLEX* 100M;RL;0.0;8.038;3.402;0.0;0.0133;11.4533
F127;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM PRETO AUTOFLEX* 100M;RL;0.0;4.62;3.8;0.0;0.025;8.445
F127;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM PRETO AUTOFLEX* 100M;RL;0.0;5.5;3.6;0.0;0.025;9.125
F129B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;8.038;3.402;0.0;0.0133;11.4533
F129B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;4.62;3.8;0.0;0.025;8.445
F129B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;5.5;3.6;0.0;0.025;9.125
F130B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;8.038;3.402;0.0;0.0133;11.4533
F130B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;4.62;3.8;0.0;0.025;8.445
F130B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;5.5;3.6;0.0;0.025;9.125
F131B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;8.038;3.402;0.0;0.0133;11.4533
F131B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;4.62;3.8;0.0;0.025;8.445
F131B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;5.5;3.6;0.0;0.025;9.125
F132B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;8.038;3.402;0.0;0.0133;11.4533
F132B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;4.62;3.8;0.0;0.025;8.445
F132B;CEA-FLEX 10,0MM;CABO ELETRICO FLEXIVEL 10,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;5.5;3.6;0.0;0.025;9.125
F146B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM PRETO AUTOFLEX* METRO [BOBINA];M;0.0;12.1;4.9;0.0;0.03;17.03
F146B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM PRETO AUTOFLEX* METRO [BOBINA];M;0.0;7.74;4.267;0.0;0.025;12.032000000000002
F146B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM PRETO AUTOFLEX* METRO [BOBINA];M;0.0;8.64;0.0;0.0;0.025;8.665000000000001
F147;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM AZUL AUTOFLEX* 100M;RL;0.0;12.1;4.9;0.0;0.03;17.03
F147;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM AZUL AUTOFLEX* 100M;RL;0.0;7.74;4.267;0.0;0.025;12.032000000000002
F147;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM AZUL AUTOFLEX* 100M;RL;0.0;8.64;0.0;0.0;0.025;8.665000000000001
F147B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;12.1;4.9;0.0;0.03;17.03
F147B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;7.74;4.267;0.0;0.025;12.032000000000002
